Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Blanca Myriam SALGUERO LONDOÑO,I Simposio Regional de Plantas Medicinales y/o Toxicas, Simposio,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,"Seminario Taller ""Evaluación de los Factores de Riesgo y Mejoramiento de la Calidad en el Servicio de los Laboratorios", Taller,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,Seminario de Química Analítica  Instrumental, Seminario,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1997
Blanca Myriam SALGUERO LONDOÑO,III Encuentro de química, Congreso,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1997
Blanca Myriam SALGUERO LONDOÑO,Seminario de Resonancia Magnética Nuclear, Seminario,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1998
Blanca Myriam SALGUERO LONDOÑO,"VIII Encuentro de Química  ""La Química en el Ambiente, la Educación y la Sociedad"".", Congreso,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2002
Blanca Myriam SALGUERO LONDOÑO,Congreso Colombiano de Ecología, Congreso,"BOGOTÁ, D.C.   - Pontificia Universidad Javeriana",Nacional,"Evaluación de grupos tróficos de nematodos de vida libre en suelos cafeteros en Líbano y Villahermosa: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2016
Blanca Myriam SALGUERO LONDOÑO,XXI Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso,San José   - Hotel Crowne Plaza Corobicí,Internacional,"Evaluación de nutrientes y descomposición de hojarasca en fragmentos de Bosque Seco Tropical, Tolima: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2017
Blanca Myriam SALGUERO LONDOÑO,XVI Congreso De la Sociedad Mesomericana para la Biología y la Conservación, Congreso,Panamá   - Universidad de Panamá,Internacional,"Dinámica Poblacional de Jacana spinosa en un lago artificial en Turrialba, Costa Rica: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2012
Blanca Myriam SALGUERO LONDOÑO,III Taller de productores de café con buenas prácticas agrícolas  de la vereda el Paraíso del municipio de Líbano para evaluar la resiliencia de los sistemas agrícolas, Taller,LÍBANO   - Finca el Refugio,Nacional,"DIAGNÓSTICO RURAL RÁPIDO PARA EVALUAR LA RESILIENCIA AL CAMBIO CLIMÁTICO DEL AGROECOSISTEMA EL REFUGIO, LÍBANO-TOLIMA: Producción técnica - Presentación de trabajo - Comunicación
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Compilador de memorias , Organizador
",2018
