Grupo,Nombre del producto,Tipo,Año inicio,Año fin
NATURATU,"Diagnóstico, manejo y mitigación de los impactos ambientales y sosciales en el remanente de bosque subandino ""El Espejo"" de la Universidad de Ibagué", Investigación y desarrollo,2016/2,2017/10
NATURATU,Construcción de un algoritmo computacional simbólico en series de potencias a partir de ecuaciones diferenciales ordinarias, Investigación y desarrollo,2016/2,2017/12
NATURATU,Quantification des processus d'exhumation orogéniques et relation entre tectonique et climat: apport de thermochronologie de basses températures et la modélisation numérique, Investigación y desarrollo,2016/2,2018/12
NATURATU,Supramolecular Catalysis on Aminolysis/Hydrolysis of carbonates derivatives, Investigación y desarrollo,2016/1,Actual
NATURATU,"Desarrollo de electrodos modificados con óxidos de metales de transición. Posible aplicación como sensores amperométricos de rápida detección de dopamina (DP) ácido ascórbico, (AA) y ácido úrico"," Investigación, desarrollo e innovación",2016/1,2018/4
NATURATU,"Cambios en algunas propiedades biológicas del suelo a diferentes profundidades en sistemas cafeteros en Líbano, Tolima.", Investigación y desarrollo,2016/1,2017/1
NATURATU,"Diagnóstico, manejo y mitigación de los impactos ambientales y sociales en el remanente de bosque subandino ¿El Espejo¿ en la Universidad de Ibagué", Investigación y desarrollo,2016/1,2016/11
NATURATU,"Desarrollo de electrodos modificados con óxidos de  metales de transición.  Posible aplicación como sensores amperométricos de rápida detección de dopamina (DP) ácido ascórbico, (AA)  y ácido úrico (AU)."," Investigación, desarrollo e innovación",2016/1,2018/1
NATURATU,Evaluación de la descomposición de la hojarasca y ciclaje de nutrientes en tres fragmentos de bosque seco tropical del departamento del Tolima., Investigación y desarrollo,2016/1,2017/1
NATURATU,"Relación de algunas propiedades biológicas y químicas con la productividad en sistemas cafeteros de Líbano, Tolima", Investigación y desarrollo,2016/1,2017/1
NATURATU,Estimación de tasas de exhumación de montañas y reactivación de fallas mediante modelado numérico termocinemático 3D de alto rendimiento, Investigación y desarrollo,2015/12,2018/3
NATURATU,Evaluación de los niveles de presión sonora en la Universidad de Ibagué y su área de influencia, Investigación y desarrollo,2015/8,2016/10
NATURATU,EFECTOS DEL RUIDO ANTROPOGÉNICO SOBRE LAS CARACTERÍSTICAS VOCALES EN AVES URBANAS DE LA CIUDAD DE IBAGUÉ: DIAGNÓSTICO DEL RUIDO Y BIOINDICACIÓN., Investigación y desarrollo,2015/8,2017/6
NATURATU,Desarrollo de sensores electroquímico soportados sobre eléctrodos modificados aplicados al monitoreo de metales pesados en fuentes naturales de aguas., Investigación y desarrollo,2015/8,2016/8
