Grupo,Nombre del Evento,Tipo,Lugar,Institución,Participación,Ámbito,Año,Mes,Día,Palabras,Area,Sectores
NATURATU,"XVIII Congreso Latinoamericano de Control Automático, CLCA 2018", Congreso ,Quito, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,10,24 ,,,
NATURATU,XIII Taller y Simposio Latinoamericano de Digestión Anaerobia (DAAL XIII), Simposio ,MEDELLÍN, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,10,21 ,,,
NATURATU,XII Congreso Latinoamericano de Botánica, Congreso ,Quito, UNIVERSIDAD DEL TOLIMA, Ponente, Internacional, 2018,10,21 ,,,
NATURATU,II Workshop Internacional: Investigación en Imaginarios y Representaciones, Congreso ,CONCEPCIÓN, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,10,17 ,,,
NATURATU,Congreso Iberoamericano de Química y  XXIX Congreso Peruano de Química, Congreso ,Lima, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,10,16 ,,,
NATURATU,III Taller de productores de café con buenas prácticas agrícolas  de la vereda el Paraíso del municipio de Líbano para evaluar la resiliencia de los sistemas agrícolas, Taller ,LÍBANO, UNIVERSIDAD DE IBAGUÉ," Compilador de memorias , Organizador", Nacional, 2018,10,05 ,,,
NATURATU,III Congreso Colombiano de Electroquímica, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,10,02 ,,,
NATURATU,III Congreso Colombiano de Electroquímica, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,10,02 ,,,
NATURATU,III Congreso Colombiano de Electroquímica, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente Magistral, Nacional, 2018,10,02 ,,,
NATURATU,45 Congreso de la Sociedad Colombiana de Entomología, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,07,11 ,,,
NATURATU,45 Congreso de la Sociedad Colombiana de Entomología, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,07,11 ,,,
NATURATU,45 Congreso de la Sociedad Colombiana de Entomología, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,07,11 ,,,
NATURATU,45 Congreso de la Sociedad Colombiana de Entomología, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,07,11 ,,,
NATURATU,45 Congreso de la Sociedad Colombiana de Entomología, Otro ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,07,11 ,,,
NATURATU,24th IUPAC International Conference on Physical Organic Chemistry, Congreso ,Algarve, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,07,01 ,,,
NATURATU,II Taller de productores de café con buenas prácticas agrícolas  de la vereda Calambeo del municipio de Ibagué para evaluar la resiliencia de los sistemas agrícolas, Taller ,IBAGUÉ, Unibague, Organizador, Nacional, 2018,05,18 ,,,
NATURATU,"V Simposio regional de biología: biología y ciencias ambientales, aportes y oportunidades", Simposio ,PEREIRA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,05,09 ,,,
NATURATU,18ème colloque international de l¿EOCCE (European Orchid Council Conference and Exhibition), Encuentro ,Paris, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,03,23 ,,,
NATURATU,The 2018 Joint Conference of the Condensed Matter Divisions of the DPG and the EPS (DPG 2018), Congreso ,Berlin, UNIVERSIDAD DEL VALLE, Asistente, Internacional, 2018,02,26 ,,,
NATURATU,II Encuentro Internacional Virtual y Académico de Ciencias Ambientales, Encuentro ,"BOGOTÁ, D.C.", UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA, Ponente, Internacional, 2017,11,23 ,,,
NATURATU,II Encuentro Internacional Virtual y Académico de Ciencias Ambientales, Encuentro ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,11,23 ,,,
NATURATU,"1er Foro de desarrollo sostenible, Un reto para el siglo XXI", Otro ,IBAGUÉ, Universidad Nacional Abierta Y A Distancia - Unad - Sede Ibagué, Ponente Magistral, Nacional, 2017,11,18 ,,,
NATURATU,I Taller de productores café y banano orgánico de la vereda Perico del municipio de Ibagué para evaluar la resiliencia de los sistemas agrícolas, Taller ,IBAGUÉ, Unibague, Organizador, Nacional, 2017,11,16 ,,,
NATURATU,IX CONGRESO INTERNACIONAL DE MATERIALES CIM 2017, Congreso ,BARRANQUILLA, UNIVERSIDAD DE LOS ANDES, Ponente, Internacional, 2017,11,14 ,,,
NATURATU,"Workshop Paguicidas, abejas y servicios ambientales: futuro de la polinización", Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ," Asistente , Compilador de memorias , Organizador", Nacional, 2017,11,10 ,,,
NATURATU,"Workshop Plaguicidas, abejas y servicios ambientales: futuro de la Polinización", Otro ,IBAGUÉ,, Asistente, Nacional, 2017,11,10 ,,,
NATURATU,THE 22nd WORLD ORCHID CONFERENCE, Encuentro ,Guayaquil, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,11,08 ,,,
NATURATU,6to Congreso de Aviturismo, Congreso ,MANIZALES, COTELCO capitulo Caldas," Asistente , Ponente", Nacional, 2017,11,01 ,,,
NATURATU,XXI Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso ,San José, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,10,30 ,,,
NATURATU,52 Congreso Nacional de Ciencias Biológicas, Congreso ,CALI, UNIVERSIDAD DE CALDAS, Ponente, Nacional, 2017,10,09 ,,,
NATURATU,52 Congreso Nacional de Ciencias Biológicas, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,10,09 ,,,
NATURATU,Primer Encuentro de Ciencias Agropecuarias, Encuentro ,FUSAGASUGÁ, UNIVERSIDAD DE CUNDINAMARCA, Ponente Magistral, Internacional, 2017,09,28 ,,,
NATURATU,Semana de investigación universitaria SIU 2017, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,09,27 ,,,
NATURATU,Semana de Investigación Universitaria, Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,09,27 ,,,
NATURATU,Semana de Investigación Universitaria SIU 2017, Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,09,27 ,,,
NATURATU,SEMANA DE INVESTIGACIÓN UNIVERSITARIA SIU 2017, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,09,27 ,,,
NATURATU,"19th International Symposium on Wood, Fibre and Pulping Chemistry", Simposio ,Porto Seguro, Universidade Federal De Viçosa, Ponente, Internacional, 2017,08,30 ,,,
NATURATU,IX CONGRESO COLOMBIANO DE BOTÁNICA, Congreso ,TUNJA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX CONGRESO COLOMBIANO DE BOTÁNICA, Congreso ,TUNJA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX CONGRESO COLOMBIANO DE BOTÁNICA, Congreso ,TUNJA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX CONGRESO COLOMBIANO DE BOTÁNICA, Congreso ,TUNJA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX Congreso Colombiano de Botánica, Congreso ,TUNJA, Asociaciòn Colombiana de Botánica, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX congreso de Botánica, Congreso ,TUNJA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX Congreso Colombiano de Botánica, Congreso ,Ciudad de México , UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
NATURATU,IX Congreso Colombiano de Botánica, Congreso ,TUNJA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2017,07,30 ,,,
