Investigador,Nombre del producto,Tipo,Jurado,Lugar,Programa,Orientado,Año,Palabras,Area,Sectores
Miguel César Moreno Palacios, EFECTO DE UN PESTICIDA NEONICOTINOIDE (IMIDACLOPRID) SOBRE LA TASA METABÓLICA ESTANDAR DE LA ABEJA OBRERA ADULTA (Apis mellifera), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental," MARIA CAMILA SEPÚLVEDA GÚZMAN, LINA MARCELA VARGAS ANGUCHO",Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, ¿ESTUDIO DEL ESTADO DE OXIDACIÓN DEL HIERRO (Fe) EN MUESTRAS DE SUELOS CAFETEROS DEL DEPARTAMENTO DEL TOLIMA UTILIZANDO LA ESPECTROMETRÍA MÖSSBAUER (MS) DEL Fe57, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Jorge Humberto Pérez Mora,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, ESTUDIO DE LAS PROPIEDADES MAGNÉTICAS Y ESTRUCTURALES DE ALEACIONES DE Fe58Ni30Al12 OBTENIDAS POR ALEAMIENTO MECÁNICO, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Jimmy Orlando Salcedo Méndez,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, Caracterización magnetica de polvos de Nd2Fe14B sinterizados con polvos de Fe65Co35 para su aplicacion como iman permanente, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL VALLE - SEDE CALI, Ingenieria de Materiales, Jhon Alexander Mera Rincon,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez," Uso Introductorio de la Tecnicas de Espectroscopia Mossbauer y Difraccionde Rayos X, en Suelos Cultivados con Cafe en las Regiones del Libano y Villahermosa, Tolima", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DE IBAGUÉ, Administracion Ambiental, Alexander Cortes Soto,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, Estudio de las propiedades magnéticas y estructurales de aleaciones de Fe58Ni30Al12 obtenidas por aleamiento mecánico, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Jimmy Orlando Salcedo,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, Análisis Mössbauer de películas delgadas del sistema Fe90Al10 y Nd3Fe14B producidas por pulverización catódica, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Elver Fabian Velez Quimbaya,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, Estudio de propiedades magnéticas y estructurales de nanopartículas de Fe50Si50 preparadas por aleamiento mecánico asistido por surfactante, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Jhon Fredy González Perdomo,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, Estudio experimental del efecto del Indio sobre los imanes Fe3Sn y Fe3Sn2, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL VALLE - SEDE CALI, Maestria en Ciencias - Física, Carlos Andres Palchucan Ceballos,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, ESTUDIO DE LAS PROPIEDADES MÁGNÉTICAS Y ESTRUCTURALES DE ALEACIONES DE POLVOS Fe50Al50-xBx OBTENIDAS POR ALEAMIENTO MECÁNICO, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Carolina Lopez,Esta información no suele aparecer en los CvLACs,,,
Juan Sebastian Trujillo Hernandez, PRODUCCIÓN Y CARACTERIZACIÓN DE POLVOS NANO-EXTRACTURADO DE NdFeB (FeAl) PRODUCIDAS POR ALEAMIENTO MECÁNICO, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Física, Alvaro Javier Gomez Rodriguez,Esta información no suele aparecer en los CvLACs,,,
